source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag
294909634654592,44.40952020659704,0.8699811789078076,2.2938957390657304,0.023114078,12.085147
297555334507776,44.537908491692924,0.9526544398785953,1.317697891671101,0.034567118,15.141285
301541063948800,44.18983036800617,0.8440164064576172,1.6124461904703402,0.2586332,19.067543
303606943406848,44.062125632033904,0.8511515849033263,1.3272860731418523,1.167189,20.582277
305286275518208,44.0637428936819,0.9312685758916465,2.4916889927051775,0.31189093,19.389702
305354994921856,44.05008097352134,0.946098624296796,1.1235535060053956,0.14380257,18.167753
305526793688576,44.03855148698903,0.9436868852018706,3.6486220492608257,1.8709987,20.653223
309070142332160,44.24542457693617,0.9590989285116239,1.5352063367361737,0.048174262,15.450431
309207581284608,44.27090409190348,0.9833173755425241,1.450374193533101,0.01575956,13.040367
312780994073600,44.21246040502049,1.0415049706377912,1.76979902764772,0.028794296,15.151771
314288526987136,44.192791477305036,1.0945884147099436,3.3089785314712117,0.26846308,18.94948
317385199039488,44.72527670073955,0.9724614615986582,1.9043687684299122,0.05128643,16.14333
322710958456448,44.56176710502694,1.0612963098488477,7.278266756355771,0.040406015,15.443743
323088914971392,44.53647371821581,1.085731929212797,1.4082290372483264,0.7703205,20.522127
323634375969408,44.62093883126307,1.0924893640360698,1.3580630465218626,0.073370285,16.818884
325695960499968,44.8452776839564,1.0871434421847632,3.5840175377487107,0.51191473,20.044085
328960135582464,44.885238336723894,1.1970432155693358,3.027409768719838,0.32090104,19.527063
338924460197248,44.367790841491754,1.1479681225592415,2.8509569426737267,1.5873226,20.694582
344593818675200,44.61483929951472,1.293552624070452,1.2339527176230516,1.2068564,20.790049
350091374715008,44.651415434775856,1.3995026527789662,2.279532358775717,0.71512103,20.477018
352157254220160,43.93375912782036,0.9257843714988931,3.021690472278094,0.018064354,13.768027
353286829947904,43.864426227709195,0.969432588076783,1.001459970962744,0.26635057,19.070587
354901738832384,44.05880996655524,1.0443612004312255,2.1659919350274612,0.9013677,20.295372
358440790715008,43.95337829336808,1.0554682727527098,1.0673218856043503,0.24303672,18.768787
361086490575104,44.13476982503328,1.1035089898094017,1.15009239468273,0.13639596,17.705402
363560391977856,44.28254697036352,1.1895286015941193,3.385085741093709,0.15271272,18.310019
366515329247488,43.962831243829136,1.2045728161465752,1.0127440588446739,0.18153846,18.509323
367855359424768,44.15398728445706,1.2442657937852093,1.6127158230981908,1.0407729,20.560963
368100172810496,44.15131341758996,1.2753116712423331,1.1051025980445923,0.0326082,15.033966
375242702898560,43.62870177943046,1.1920849254842212,1.32743968139343,0.3943353,19.46051
382149010217216,44.01892849568806,1.3595738839808125,1.0719297872208189,1.1122924,20.552914
382733125896832,43.85495080406906,1.2953299322352492,1.4678330692008195,0.46094066,19.743692
383420322161152,43.931321981212825,1.3514745277121978,1.4994319830243785,0.54521865,20.109264
389055319687424,44.271002787627026,1.3209755022097642,2.370255680665281,0.9358865,20.591867
389501994606976,44.36057640421907,1.3027627670118314,2.200136751458349,0.2775296,19.261742
389536354221824,44.37679392746129,1.3030932366401649,4.368273048845796,0.10524095,17.730574
396756194626944,44.49678072781707,1.4229311881531095,2.34545818496395,0.39188918,19.603682
399260160332672,44.54122831364668,1.4771739902297,1.2320065208763675,0.29107594,19.37976
402253752738304,44.36157194330891,1.5414084987735306,1.5280921836990162,0.42275414,19.758713
402425551487360,44.47657844927497,1.497362243136816,2.7165919698001932,0.1689394,18.418003
407884454568704,44.25658410326678,1.5147338972271913,2.936487776047594,0.2540868,18.962952
417230303575296,44.33644914304832,1.6709568711067924,1.7403101492559263,0.5333394,19.770739
419983377734912,44.213296531901015,1.7021662356772906,2.202448861219832,0.033650942,15.285105
426885389551488,44.89461359683545,1.2966032120848765,2.1311980799560524,1.1384653,20.711294
427576879914496,44.9489478521803,1.3534083974164675,1.4911246380833438,0.021975031,14.196053
434964223681408,45.2635890574705,1.5193530908046582,1.6803242210075586,0.07959417,16.851553
38655544960,45.004978371745516,0.019879675701858644,3.1391701154499523,0.022347411,14.128453
11304353963264,45.25280294045976,0.2644760705500549,2.4311197102914464,0.2965767,19.035908
11785390301440,45.326157917629324,0.30431379136478887,1.335599929469456,0.76007617,20.212744
14877767518336,45.10111834778462,0.3129351905246506,1.214156980166468,1.5934684,20.730762
17832704281088,44.84068305757108,0.1938282857664689,1.6993990813729434,0.2141807,18.812529
19619410717312,44.79448202422601,0.26791161759831,1.8849449734714232,0.8125715,20.56055
21371757709056,44.853263998598706,0.3196728484008479,2.3806752921671914,0.634805,20.10339
24464134162304,44.79833177411344,0.320533105646606,2.2782992894353127,0.93935,20.24765
28999619643392,45.09218986974516,0.4154485061042073,2.0328770753710765,1.7042531,20.711988
29205777829376,45.11989769564949,0.4253414365248818,1.4376332195272823,0.41043258,19.542513
37971806691072,45.49859483744273,0.43099284208387684,1.1164653337241675,0.025723498,14.178606
